"CLAVE","DESCRIPCION","UNIDAD","DESCAP"
C38,Mol por litro,mol/l,MOL POR LITRO
C39,Nanoamperio, nA,NANOAMPERIO
C4,partido de carga,,PARTIDO DE CARGA
C40,NanoCulombio, nC,NANOCULOMBIO
C41,Nanofaradio, nF,NANOFARADIO
C42,Nanofaradio por metro,nF/m,NANOFARADIO POR METRO
C43,Nanohenry, nH,NANOHENRY
C44,Nanohenry por metro,nH/m,NANOHENRY POR METRO
C45,Nanómetro, nm,NANOMETRO
C46,NanoOhm metro,n?Àm,NANOOHM METRO
C47,Nanosegundo, ns,NANOSEGUNDO
C48,Nanotesla, nT,NANOTESLA
C49,Nanowatt, nW,NANOWATT
C5,Costo,,COSTO
C50,Neperio, Np,NEPERIO
C51,Neperio por segundo,Np/s,NEPERIO POR SEGUNDO
C52,Picómetro, pm,PICOMETRO
C53,Newton metro segundo,NÀmÀs,NEWTON METRO SEGUNDO
C54,Newton metro cuadrado por kilogramo cuadrado,    NÀm?/kg?,NEWTON METRO CUADRADO POR KILOGRAMO CUADRADO
C55,Newton por metro cuadrado,N/m?,NEWTON POR METRO CUADRADO
C56,Newton por milimetro cuadrado,N/mm?,NEWTON POR MILIMETRO CUADRADO
C57,Newton segundo, NÀs,NEWTON SEGUNDO
C58,Segundos newton por metro,NÀs/m,SEGUNDOS NEWTON POR METRO
C59,Octava,,OCTAVA
C6,celda,,CELDA
C60,Ohm centímetro,?Àcm,OHM CENTIMETRO
C61,Ohm metro, ?Àm,OHM METRO
C62,Uno,  1,UNO
C63,Pársec, pc,PARSEC
C64,Pascal por kelvin,Pa/K,PASCAL POR KELVIN
C65,Pascal segundo,PaÀs,PASCAL SEGUNDO
C66,Segundos pascal por metro cúbico,     PaÀs/m?,SEGUNDOS PASCAL POR METRO CUBICO
C67,Segundos pascal por metro,     PaÀ s/m,SEGUNDOS PASCAL POR METRO
C68,Petajoule, PJ,PETAJOULE
C69,Phon,,PHON
C7,Centipoise, cP,CENTIPOISE
C70,Picoamperio, pA,PICOAMPERIO
C71,PicoCulombio, pC,PICOCULOMBIO
C72,Picofaradio por metro,pF/m,PICOFARADIO POR METRO
C73,Picohenry, pH,PICOHENRY
C74,Kilobits por segundo,     kbit/s,KILOBITS POR SEGUNDO
C75,Picowatt, pW,PICOWATT
C76,Picowatt  por metro cuadrado,pW/m?,PICOWATT  POR METRO CUADRADO
C77,Calibre de libra,,CALIBRE DE LIBRA
C78,Libra fuerza, lbf,LIBRA FUERZA
C79,Kilovoltios horas amperios,kVAh,KILOVOLTIOS HORAS AMPERIOS
C8,MilliCulombio por kilogramo,mC/kg,MILLICULOMBIO POR KILOGRAMO
C80,Rad, rad,RAD
C81,Radián, rad,RADIAN
C82,Radianmetro cuadrado por Mol,   radÀm?/mol,RADIANMETRO CUADRADO POR MOL
C83,Rradian metro cuadrado por kilogramo,    radÀm?/kg,RRADIAN METRO CUADRADO POR KILOGRAMO
C84,Radían por metro,rad/m,RADIAN POR METRO
C85,Reciprocidad ?mstrong, ???,RECIPROCIDAD AMSTRONG
C86,Reciprocidad del metro cúbico, m??,RECIPROCIDAD DEL METRO CUBICO
C87,Reciprocidad metro cúbico por segundo,m??/s,RECIPROCIDAD METRO CUBICO POR SEGUNDO
C88,Recíproco joule por metro cúbico,     eV??/m?,RECIPROCO JOULE POR METRO CUBICO
C89,Henry recíproco, H??,HENRY RECIPROCO
C9,Grupo bobinas,,GRUPO BOBINAS
C90,Recíproco Henry,     J??/m?,RECIPROCO HENRY
C91,Recíprocidad de kelvin ó kelvin a la potencia menos 1, K??,RECIPROCIDAD DE KELVIN O KELVIN A LA POTENCIA MENOS 1
C92,Reciprocidad Metro, m??,RECIPROCIDAD METRO
C93,Reciprocidad Metro cuadrado, m??,RECIPROCIDAD METRO CUADRADO
C94,Reciprocidad Minuto,min??,RECIPROCIDAD MINUTO
C95,Reciprocidad Mol,mol??,RECIPROCIDAD MOL
C96,Reciprocidad Pascal o pascal a la potencia menos 1,Pa??,RECIPROCIDAD PASCAL O PASCAL A LA POTENCIA MENOS 1
C97,Reciprocidad Segundo, s??,RECIPROCIDAD SEGUNDO
C98,Segundo recíproco por metro cúbico,S $ ^ {1} $ / m $ ? $,SEGUNDO RECIPROCO POR METRO CUBICO
C99,Reciprocidad Segundo por metro cuadrado,     s??/m?,RECIPROCIDAD SEGUNDO POR METRO CUADRADO
CCT,Capacidad de carga en toneladas métricas,,CAPACIDAD DE CARGA EN TONELADAS METRICAS
CDL,Candela, cd,CANDELA
CE,Cada mes,,CADA MES
CEL,Grados celsius, ?C,GRADOS CELSIUS
CEN,Centenar,,CENTENAR
CG,Tarjeta,,TARJETA
CGM,Centígramo, cg,CENTIGRAMO
CK,Conector,,CONECTOR
CKG,Culombio por kilogramo,C/kg,CULOMBIO POR KILOGRAMO
CLF,Cientos de hojas,,CIENTOS DE HOJAS
CLT,Centilitro, cl,CENTILITRO
CMK,Centímetro cuadrado, cm?,CENTIMETRO CUADRADO
CMQ,Centímetro cúbico, cm?,CENTIMETRO CUBICO
CMT,Centímetro, cm,CENTIMETRO
CNP,Cientos de paquetes,,CIENTOS DE PAQUETES
CNT,Cental (UK),,CENTAL (UK)
COU,Culombio,  C,CULOMBIO
CTG,Contenido en gramos,,CONTENIDO EN GRAMOS
CTM,Quilatage métrico,,QUILATAGE METRICO
CTN,Tonelada de contenido (métrica),,TONELADA DE CONTENIDO (METRICA)
CUR,Curie, Ci,CURIE
CWA,Hundred pound,    cwt (US),HUNDRED POUND
CWI,Hundredweight,    cwt (UK),HUNDREDWEIGHT
CZ,Combo,,COMBO
D03,Kilovatio hora por hora,     kWÀh/h,KILOVATIO HORA POR HORA
D04,Lot [unidad de peso],,LOT [UNIDAD DE PESO]
D1,Segundo recíproco por estereorradián,     s??/sr,SEGUNDO RECIPROCO POR ESTEREORRADIAN
D10,Siemens por metro, S/m,SIEMENS POR METRO
D11,Mebibit,Mibit,MEBIBIT
D12,Siemens metro cuadrado por Mol,    SÀm?/mol,SIEMENS METRO CUADRADO POR MOL
D13,Sievert, Sv,SIEVERT
D14,Yarda mil lineal,,YARDA MIL LINEAL
D15,Sone,,SONE
D16,Centimetro cuadrado por erg,     cm?/erg,CENTIMETRO CUADRADO POR ERG
D17,Centimetro cuadrado por esteroradian erg,  cm?/(srÀerg),CENTIMETRO CUADRADO POR ESTERORADIAN ERG
D18,Metro kelvin, mÀK,METRO KELVIN
D19,Metro cuadrado kelvin por watt.,     m?ÀK/W,METRO CUADRADO KELVIN POR WATT.
D2,Segundo recíproco por estereorradián metro cuadrado,   s??/(srÀm?),SEGUNDO RECIPROCO POR ESTEREORRADIAN METRO CUADRADO
D20,Metro cuadrado por joule,m?/J,METRO CUADRADO POR JOULE
D21,Metro cuadrado por kilogramo,m?/kg,METRO CUADRADO POR KILOGRAMO
D22,Metro cuadrado por Mol,     m?/mol,METRO CUADRADO POR MOL
D23,Gramo pluma (proteína),,GRAMO PLUMA (PROTEINA)
D24,Metro cuadrado por esteroradian,m?/sr,METRO CUADRADO POR ESTERORADIAN
D25,Metro cuadrado por esteroradian joule,    m?/(srÀJ),METRO CUADRADO POR ESTERORADIAN JOULE
D26,Metro cuadrado por voltiosegundo,    m?/(VÀs),METRO CUADRADO POR VOLTIOSEGUNDO
D27,Estereorradían, sr,ESTEREORRADIAN
D28,sifón,,SIFON
D29,Terahertz, THz,TERAHERTZ
D30,Terajoule, TJ,TERAJOULE
D31,Terawatt, TW,TERAWATT
D32,Terawatt hora,TWÀh,TERAWATT HORA
D33,Tesla,  T,TESLA
D34,Tex,   tex (g/km),TEX
D35,Calorías (termoquímicas),?ácal,CALORIAS (TERMOQUIMICAS)
D36,Megabit,Mbit,MEGABIT
D37,Calorías (termoquímicas) por gramo de kelvin, ?ácalá/ (g À K),CALORIAS (TERMOQUIMICAS) POR GRAMO DE KELVIN
D38,Calorías (termoquímicas) por segundo centímetro kelvin,?ácalá/ (s À cm À K),CALORIAS (TERMOQUIMICAS) POR SEGUNDO CENTIMETRO KELVIN
D39,Calorías (termoquímicas) por segundo centímetro cuadrado kelvin,?ácalá/ (s À cm? À K),CALORIAS (TERMOQUIMICAS) POR SEGUNDO CENTIMETRO CUADRADO KELVIN
D40,Mil litros,,MIL LITROS
D41,Tonelada por metro cúbico,t/m?,TONELADA POR METRO CUBICO
D42,Año tropical,  y (tropical),ANO TROPICAL
D43,Unidad de masa atómica unificada,  u,UNIDAD DE MASA ATOMICA UNIFICADA
D44,Var, var,VAR
D45,Voltio cuadrado por kelvin cuadrado,V?/K?,VOLTIO CUADRADO POR KELVIN CUADRADO
D46,Voltioio-amperio, VÀA,VOLTIOIO-AMPERIO
D47,Voltio por centímetro,V/cm,VOLTIO POR CENTIMETRO
D48,Voltio por Kelvin, V/K,VOLTIO POR KELVIN
D49,Millivoltio por Kelvin,mV/K,MILLIVOLTIO POR KELVIN
D5,Kilogramo por centímetro cuadrado,     kg/cm?,KILOGRAMO POR CENTIMETRO CUADRADO
D50,Voltio por metro, V/m,VOLTIO POR METRO
D51,Voltio por milímetro,V/mm,VOLTIO POR MILIMETRO
D52,Watt por kelvin, W/K,WATT POR KELVIN
D53,Watt por metro kelvin,     W/(mÀK),WATT POR METRO KELVIN
D54,Watt por metro cuadrado,W/m?,WATT POR METRO CUADRADO
D55,Watt por metro cuadrado kelvin,    W/(m?ÀK),WATT POR METRO CUADRADO KELVIN
D56,Watt por metro cuadrado kelvin a la cuarta potencia,    W/(m?ÀK?),WATT POR METRO CUADRADO KELVIN A LA CUARTA POTENCIA
D57,Watt por estereorradián,W/sr,WATT POR ESTEREORRADIAN
D58,Watt por estereorradián metro cuadrado,    W/(srÀm?),WATT POR ESTEREORRADIAN METRO CUADRADO
D59,Weber por metro,Wb/m,WEBER POR METRO
D6,Roentgen por segundo, R/s,ROENTGEN POR SEGUNDO
D60,Weber por milímetro,Wb/mm,WEBER POR MILIMETRO
D61,Minuto [unidad de ángulo],  ',MINUTO [UNIDAD DE ANGULO]
D62,Segundo [unidad de ángulo],"        """,SEGUNDO [UNIDAD DE ANGULO]
D63,Libro,,LIBRO
D64,bloquear,,BLOQUEAR
D65,Redondo,,REDONDO
D66,casete,,CASETE
D67,Dólar por hora,,DOLAR POR HORA
D68,Número de palabras,,NUMERO DE PALABRAS
D69,Pulgada a la cuarta potencia, in?,PULGADA A LA CUARTA POTENCIA
D7,Sandwich,,SANDWICH
D70,Calorías (tabla internacional),     CaláTI,CALORIAS (TABLA INTERNACIONAL)
D71,Calorías (tabla internacional) por segundo centímetro kelvin,caláTIá/ (s À cm À K),CALORIAS (TABLA INTERNACIONAL) POR SEGUNDO CENTIMETRO KELVIN
D72,Calorías (tabla internacional) por segundo centímetro cuadrado kelvin,CaláTIá/ (s À cm? À K),CALORIAS (TABLA INTERNACIONAL) POR SEGUNDO CENTIMETRO CUADRADO KELVIN
D73,Joule metro cuadrado,JÀm?,JOULE METRO CUADRADO
D74,Kilogramo por Mol,     kg/mol,KILOGRAMO POR MOL
D75,Calorías (tabla internacional) por gramo,   caláITá/ g,CALORIAS (TABLA INTERNACIONAL) POR GRAMO
D76,Calorías (tabla internacional) por gramo de kelvin,caláITá/ (g À K),CALORIAS (TABLA INTERNACIONAL) POR GRAMO DE KELVIN
D77,MegaCulombio, MC,MEGACULOMBIO
D78,Megajoule por segundo,MJ/s,MEGAJOULE POR SEGUNDO
D79,Viga,,VIGA
D8,Draize score,,DRAIZE SCORE
D80,Microwatt, ÁW,MICROWATT
D81,Microtesla, ÁT,MICROTESLA
D82,Microvoltio, ÁV,MICROVOLTIO
D83,Milinewton metro,mNÀm,MILINEWTON METRO
D85,Microwatt por metro cuadrado,ÁW/m?,MICROWATT POR METRO CUADRADO
D86,MiliCulombio, mC,MILICULOMBIO
D87,MiliMol por kilogramo,     mmol/kg,MILIMOL POR KILOGRAMO
D88,MiliCulombio por metro cúbico,mC/m?,MILICULOMBIO POR METRO CUBICO
D89,MiliCulombio por metro cuadrado,mC/m?,MILICULOMBIO POR METRO CUADRADO
D9,Dyne por centímetro cuadrado,    Dyn / cm?,DYNE POR CENTIMETRO CUADRADO
D90,Metro cúbico (neta),,METRO CUBICO (NETA)
D91,Rem, rem,REM
D92,banda,,BANDA
D93,Segundo por metro cúbico,s/m?,SEGUNDO POR METRO CUBICO
D94,Segundo por metro cúbico Radian,   s/(radÀm?),SEGUNDO POR METRO CUBICO RADIAN
D95,Joule por gramo, J/g,JOULE POR GRAMO
D96,Libra bruta,,LIBRA BRUTA
D98,Libra masiva,,LIBRA MASIVA
D99,manga,,MANGA
DAA,Decar, daa,DECAR
DAD,Decena de días,,DECENA DE DIAS
DAY,Día,  d,DIA
DB,Libra seca,,LIBRA SECA
DC,Disco (disco),,DISCO (DISCO)
DD,Grado [unidad de ángulo],  ?,GRADO [UNIDAD DE ANGULO]
DE,Acuerdo,,ACUERDO
DEC,Década,,DECADA
DG,Decigramo, dg,DECIGRAMO
DI,dispensador,,DISPENSADOR
DJ,Decagramo, dag,DECAGRAMO
DLT,Decilitro, dl,DECILITRO
DMA,Decámetro cúbico,dam?,DECAMETRO CUBICO
DMK,Decímetro cuadrado, dm?,DECIMETRO CUADRADO
DMO,Kiloliter norma,,KILOLITER NORMA
DMQ,Decímetro cúbico, dm?,DECIMETRO CUBICO
DMT,Decímetro, dm,DECIMETRO
DN,Decinewton metro,dNÀm,DECINEWTON METRO
DPC,Docenas de piezas,,DOCENAS DE PIEZAS
DPR,Docenas de pares,,DOCENAS DE PARES
DPT,Peso de desplazamiento,,PESO DE DESPLAZAMIENTO
DQ,registro de datos,,REGISTRO DE DATOS
DRA,Dram (EUA),,DRAM (EUA)
DRI,Dram (UK),,DRAM (UK)
DRL,Docena de rodillos,,DOCENA DE RODILLOS
DRM,Drachm (UK),,DRACHM (UK)
DS,monitor,,MONITOR
DT,Tonelada seca,,TONELADA SECA
DTN,Decitonelada métrica,    dt or dtn,DECITONELADA METRICA
DU,dina, Dyn,DINA
DWT,Pennyweight,,PENNYWEIGHT
Dx,Dyne por centímetro,    Dyn / cm,DYNE POR CENTIMETRO
DY,Libro de directorio,,LIBRO DE DIRECTORIO
DZN,Docena, DOZ,DOCENA
DZP,Docena de paquete,,DOCENA DE PAQUETE
E01,Newton por centímetro cuadrado,N/cm?,NEWTON POR CENTIMETRO CUADRADO
E07,Megawatt hora por hora,     MWÀh/h,MEGAWATT HORA POR HORA
E08,Megavatios por hertz,MW/Hz,MEGAVATIOS POR HERTZ
E09,Miliamperio hora,mAÀh,MILIAMPERIO HORA
E10,Día de grado,     deg da,DIA DE GRADO
E11,Gigacalorie,,GIGACALORIE
E12,Mille,,MILLE
E14,Kilocaloría (tabla internacional),     kcalIT,KILOCALORIA (TABLA INTERNACIONAL)
E15,Kilocaloría (termoquímica) por hora,    kcalth/h,KILOCALORIA (TERMOQUIMICA) POR HORA
E16,Millón de btu (ti) por hora,     BtuIT/h,MILLON DE BTU (TI) POR HORA
E17,Pie cúbico por segundo,ft?/s,PIE CUBICO POR SEGUNDO
E18,Tonelada por hora, t/h,TONELADA POR HORA
E19,Ping,,PING
E20,Megabit por segundo,     Mbit/s,MEGABIT POR SEGUNDO
E21,Shares,,SHARES
E22,Tue,,TUE
E23,Neumático,,NEUMATICO
E25,Unidad activa,,UNIDAD ACTIVA
E27,Dosis,,DOSIS
E28,Tonelada seca de aire,,TONELADA SECA DE AIRE
E3,remolque,,REMOLQUE
E30,Hebra,,HEBRA
E31,Metro cuadrado por litro,m?/l,METRO CUADRADO POR LITRO
E32,Litros por hora, l/h,LITROS POR HORA
E33,Por mil pies,,POR MIL PIES
E34,Gigabyte,Gbyte,GIGABYTE
E35,Terabyte,Tbyte,TERABYTE
E36,Petabyte,Pbyte,PETABYTE
E37,Pixel,,PIXEL
E38,Megapíxeles,,MEGAPIXELES
E39,Puntos por pulgada, dpi,PUNTOS POR PULGADA
E4,Kilo bruto,,KILO BRUTO
E40,Parte por cien mil,ppht,PARTE POR CIEN MIL
E41,Kilogramo-fuerza por milímetro cuadrado,    kgfÀm/cm?,KILOGRAMO-FUERZA POR MILIMETRO CUADRADO
E42,Kilogramo-fuerza por centímetro cuadrado,     kgf/cm?,KILOGRAMO-FUERZA POR CENTIMETRO CUADRADO
E43,Joule por centímetro cuadrado,J/cm?,JOULE POR CENTIMETRO CUADRADO
E44,Metros kilogramo-fuerza por centímetro cuadrado,    kgfÀm/cm?,METROS KILOGRAMO-FUERZA POR CENTIMETRO CUADRADO
E45,MiliOhm, m?,MILIOHM
E46,Kilovatio hora por metro cúbico,     kWÀh/m?,KILOVATIO HORA POR METRO CUBICO
E47,Kilovatio hora por kelvin,     kWÀh/K,KILOVATIO HORA POR KELVIN
E48,Unidad de servicio,,UNIDAD DE SERVICIO
E49,Día de trabajo,,DIA DE TRABAJO
E5,Tonelada métrica larga,,TONELADA METRICA LARGA
E50,Unidad de cuenta,,UNIDAD DE CUENTA
E51,Trabajo,,TRABAJO
E52,Run foot,,RUN FOOT
E53,Prueba,,PRUEBA
E54,Viaje,,VIAJE
E55,Utilizar,,UTILIZAR
E56,Bien,,BIEN
E57,Zona,,ZONA
E58,Exabit por segundo,     Ebit/s,EXABIT POR SEGUNDO
E59,Exbibyte,     Eibyte,EXBIBYTE
E60,Pebibyte,     Pibyte,PEBIBYTE
E61,Tebibyte,     Tibyte,TEBIBYTE
E62,Gibibyte,     Gibyte,GIBIBYTE
E63,Mebibyte,     Mibyte,MEBIBYTE
E64,Kibibyte,     Kibyte,KIBIBYTE
E65,Exbibit por metro,     Eibit/m,EXBIBIT POR METRO
E66,Exbibit por metro cuadrado,    Eibit/m?,EXBIBIT POR METRO CUADRADO
E67,Exbibit por metro cúbico,    Eibit/m?,EXBIBIT POR METRO CUBICO
E68,Gigabyte por segundo,     Gbyte/s,GIGABYTE POR SEGUNDO
E69,Gibibit por metro,     Gibit/m,GIBIBIT POR METRO
E70,Gibibit por metro cuadrado,    Gibit/m?,GIBIBIT POR METRO CUADRADO
E71,Gibibit por metro cúbico,    Gibit/m?,GIBIBIT POR METRO CUBICO
E72,Kibibit por metro,     Kibit/m,KIBIBIT POR METRO
E73,Kibibit por metro cuadrado,    Kibit/m?,KIBIBIT POR METRO CUADRADO
E74,Kikibit por metro cúbico.,    Kibit/m?,KIKIBIT POR METRO CUBICO.
E75,Mebbit por metro.,     Mibit/m,MEBBIT POR METRO.
E76,Mebbitt por metro cuadrado.,    Mibit/m?,MEBBITT POR METRO CUADRADO.
E77,Mebbit por metro cúbico.,    Mibit/m?,MEBBIT POR METRO CUBICO.
E78,Petabit,Pbit,PETABIT
E79,Pebibit por segundo.,     Pbit/s,PEBIBIT POR SEGUNDO.
E80,Pebibit por metro.,     Pibit/m,PEBIBIT POR METRO.
E81,Pebibit por metro cuadrado.,    Pibit/m?,PEBIBIT POR METRO CUADRADO.
E82,Pebibit por metro cúbico.,    Pibit/m?,PEBIBIT POR METRO CUBICO.
E83,Tebibit.,Tbit,TEBIBIT.
E84,Tebibit por segundo,     Tbit/s,TEBIBIT POR SEGUNDO
E85,Tebibit por metro.,     Tibit/m,TEBIBIT POR METRO.
E86,Tebibit por metro cúbico.,    Tibit/m?,TEBIBIT POR METRO CUBICO.
E87,Tebibit por metro cuadrado,    Tibit/m?,TEBIBIT POR METRO CUADRADO
E88,Bit por metro,bit/m,BIT POR METRO
E89,Bit por metro cuadrado,     bit/m?,BIT POR METRO CUADRADO
E90,Centímetro recíproco,cm??,CENTIMETRO RECIPROCO
E91,Día recíproco, d??,DIA RECIPROCO
E92,Decímetro cúbico por hora,dm?/h,DECIMETRO CUBICO POR HORA
E93,Kilogramo por hora,kg/h,KILOGRAMO POR HORA
E94,KiloMol por segundo,     kmol/s,KILOMOL POR SEGUNDO
E95,Mol por segundo,mol/s,MOL POR SEGUNDO
E96,Grado por segundo, ?/s,GRADO POR SEGUNDO
E97,Mililitro por gadro celsius metro,    mm/(?CÀm),MILILITRO POR GADRO CELSIUS METRO
E98,Grado celsius por kelvin,?C/K,GRADO CELSIUS POR KELVIN
E99,Hectopascal por bar,     hPa/bar,HECTOPASCAL POR BAR
EA,Elemento,,ELEMENTO
EB,Casilla de correo electrónico,,CASILLA DE CORREO ELECTRONICO
EP,Paquete de once,,PAQUETE DE ONCE
EQ,Galón equivalente,,GALON EQUIVALENTE
F01,Bit por metro cúbico,     bit/m?,BIT POR METRO CUBICO
F02,Kelvin por kelvin, K/K,KELVIN POR KELVIN
F03,Kilopascal por bar,     kPa/bar,KILOPASCAL POR BAR
F04,Milibar por bar,    mbar/bar,MILIBAR POR BAR
F05,Megapascal por bar,     MPa/bar,MEGAPASCAL POR BAR
F06,Poise por bar,P/bar,POISE POR BAR
F07,Pascal por bar,     Pa/bar,PASCAL POR BAR
F08,Miliamperio por pulgada,mA/in,MILIAMPERIO POR PULGADA
F1,Mil pies cúbicos por día,,MIL PIES CUBICOS POR DIA
F10,Kelvin por hora, K/h,KELVIN POR HORA
F11,Kelvin por minuto,K/min,KELVIN POR MINUTO
F12,Kelvin por segundo, K/s,KELVIN POR SEGUNDO
F13,Slug,slug,SLUG
F14,Gramo por kelvin, g/K,GRAMO POR KELVIN
F15,Kilogramo por kelvin,kg/K,KILOGRAMO POR KELVIN
F16,Miligramo por kelvin,mg/K,MILIGRAMO POR KELVIN
F17,Libra fuerza por pie,     lbf/ft,LIBRA FUERZA POR PIE
F18,Kilogramo centímetro cuadrado,     kgÀcm?,KILOGRAMO CENTIMETRO CUADRADO
F19,Kilogramo milimetro cuadrado,     kgÀmm?,KILOGRAMO MILIMETRO CUADRADO
F20,Libra pulgada cuadrada,     lbÀin?,LIBRA PULGADA CUADRADA
F21,Libra fuerza pulgada,     lbfÀin,LIBRA FUERZA PULGADA
F22,Libra fuerza por pie entre amperio,    lbfÀft/A,LIBRA FUERZA POR PIE ENTRE AMPERIO
F23,Gramo por decímetro cúbico,g/dm?,GRAMO POR DECIMETRO CUBICO
F24,Kilogramo por kiloMol,     kg/kmol,KILOGRAMO POR KILOMOL
F25,Gramo por hertz,g/Hz,GRAMO POR HERTZ
F26,Gramo por día, g/d,GRAMO POR DIA
F27,Gramo por hora, g/h,GRAMO POR HORA
F28,Gramo por minuto,g/min,GRAMO POR MINUTO
F29,Gramo por segundo, g/s,GRAMO POR SEGUNDO
F30,Kilogramo por día,kg/d,KILOGRAMO POR DIA
F31,Kilogramo por minuto,     kg/min,KILOGRAMO POR MINUTO
F32,Miligramo por dia,mg/d,MILIGRAMO POR DIA
F33,Miligramo por minuto,     mg/min,MILIGRAMO POR MINUTO
F34,Miligramo por segundo,mg/s,MILIGRAMO POR SEGUNDO
F35,Gramo por día kelvin,     g/(dÀK),GRAMO POR DIA KELVIN
F36,Gramo por hora kelvin,     g/(hÀK),GRAMO POR HORA KELVIN
F37,Gramo por minuto kelvin,    g/(minÀK),GRAMO POR MINUTO KELVIN
F38,Gramo por segundo kelvin,     g/(sÀK),GRAMO POR SEGUNDO KELVIN
F39,Kilogramo por día kelvin,    kg/(dÀK),KILOGRAMO POR DIA KELVIN
F40,Kilogramo por hora kelvin,    kg/(hÀK),KILOGRAMO POR HORA KELVIN
F41,Kilogramo por minuto kelvin,   kg/(minÀK),KILOGRAMO POR MINUTO KELVIN
F42,Kilogramo por segundo kelvin,    kg/(sÀK),KILOGRAMO POR SEGUNDO KELVIN
F43,Miligramo por día kelvin,    mg/(dÀK),MILIGRAMO POR DIA KELVIN
F44,Miligramo por hora kelvin,    mg/(hÀK),MILIGRAMO POR HORA KELVIN
F45,Miligramo por minuto kelvin,   mg/(minÀK),MILIGRAMO POR MINUTO KELVIN
F46,Miligramo por segundo kelvin,    mg/(sÀK),MILIGRAMO POR SEGUNDO KELVIN
F47,Newton por milímetro,N/mm,NEWTON POR MILIMETRO
F48,Libra fuerza por pulgada,     lbf/in,LIBRA FUERZA POR PULGADA
F49,Rod (Unidad de distancia),     rd (US),ROD (UNIDAD DE DISTANCIA)
F50,Micrómetro por kelvin,Ám/K,MICROMETRO POR KELVIN
F51,Centímetro por kelvin,cm/K,CENTIMETRO POR KELVIN
F52,Metro por kelvin, m/K,METRO POR KELVIN
F53,Mililitro por kelvin,mm/K,MILILITRO POR KELVIN
F54,MiliOhm por metro,m?/m,MILIOHM POR METRO
F55,Ohm por milla (milla estatal),?/mi,OHM POR MILLA (MILLA ESTATAL)
F56,Ohm por kilómetro,?/km,OHM POR KILOMETRO
F57,Miliamperio por libra-fuerza por pulgada cuadrada,  mA/(lbf/in?),MILIAMPERIO POR LIBRA-FUERZA POR PULGADA CUADRADA
F58,Bar recíproco,1/bar,BAR RECIPROCO
F59,Miliamperio por bar,     mA/bar,MILIAMPERIO POR BAR
F60,Grado celsius por bar,     ?C/bar,GRADO CELSIUS POR BAR
F61,Kelvin por bar,K/bar,KELVIN POR BAR
F62,Gramo por día bar,    g/(dÀbar),GRAMO POR DIA BAR
F63,Gramo por hora bar,    g/(hÀbar),GRAMO POR HORA BAR
F64,Gramo por minuto bar,   g/(minÀbar),GRAMO POR MINUTO BAR
F65,Gramo por segundo bar,    g/(sÀbar),GRAMO POR SEGUNDO BAR
F66,Kililogramo por día bar,   kg/(dÀbar),KILILOGRAMO POR DIA BAR
F67,Kilogramo por hora bar,   kg/(hÀbar),KILOGRAMO POR HORA BAR
F68,Kilogramo por minuto bar,  kg/(minÀbar),KILOGRAMO POR MINUTO BAR
F69,Kilogramo por segundo bar,   kg/(sÀbar),KILOGRAMO POR SEGUNDO BAR
F70,Miligramo por día bar,   mg/(dÀbar),MILIGRAMO POR DIA BAR
F71,Miligramo por hora bar,   mg/(hÀbar),MILIGRAMO POR HORA BAR
F72,Miligramo por minuto bar,  mg/(minÀbar),MILIGRAMO POR MINUTO BAR
F73,Miligramo por segundo bar,   mg/(sÀbar),MILIGRAMO POR SEGUNDO BAR
F74,Gramo por bar,g/bar,GRAMO POR BAR
F75,Miligramo por bar,     mg/bar,MILIGRAMO POR BAR
F76,Miliamperio por milímetro,mA/mm,MILIAMPERIO POR MILIMETRO
F77,Pascal segundo por kelvin,     Pa.s/K,PASCAL SEGUNDO POR KELVIN
F78,Pulgada de agua,inH?O,PULGADA DE AGUA
F79,Pulgada de mercurio,inHg,PULGADA DE MERCURIO
F80,Caballos de fuerza de agua,,CABALLOS DE FUERZA DE AGUA
F81,Bar por kelvin,bar/K,BAR POR KELVIN
F82,Hectopascal por kelvin,hPa/K,HECTOPASCAL POR KELVIN
F83,Kilopascal por kelvin,kPa/K,KILOPASCAL POR KELVIN
F84,Milibar por kelvin,     mbar/K,MILIBAR POR KELVIN
F85,Megapascal por kelvin,MPa/K,MEGAPASCAL POR KELVIN
F86,Poise por kelvin, P/K,POISE POR KELVIN
F87,Voltio por litro minuto,    V/(lÀmin),VOLTIO POR LITRO MINUTO
F88,Newton centímetro,NÀcm,NEWTON CENTIMETRO
F89,Newton metro por grados,Nm/?,NEWTON METRO POR GRADOS
F9,Fibra por centímetro cúbico de aire,,FIBRA POR CENTIMETRO CUBICO DE AIRE
F90,Newton metro por amperio,NÀm/A,NEWTON METRO POR AMPERIO
F91,Bar litro por segundo,     barÀl/s,BAR LITRO POR SEGUNDO
F92,Bar metro cúbico por segundo,    barÀm?/s,BAR METRO CUBICO POR SEGUNDO
F93,Hectopascal litro por segundo,     hPaÀl/s,HECTOPASCAL LITRO POR SEGUNDO
F94,Hectopascal metro cúbico por segundo,    hPaÀm?/s,HECTOPASCAL METRO CUBICO POR SEGUNDO
F95,Milibar litro por segundo,    mbarÀl/s,MILIBAR LITRO POR SEGUNDO
F96,Milibar metro cúbico por segundo,    mbarÀm?/s,MILIBAR METRO CUBICO POR SEGUNDO
