"CLAVE","DESCRIPCION","UNIDAD","DESCAP"
41,Mililitro por minuto,     ml/min,MILILITRO POR MINUTO
4B,Gorra,,GORRA
4C,Centistokes, cSt,CENTISTOKES
4E,Veinte pack,,VEINTE PACK
4G,Microlitro, Ál,MICROLITRO
4H,Micra, Ám,MICRA
4K,Miliamperio, mA,MILIAMPERIO
4L,Megabyte,Mbyte,MEGABYTE
4M,Miligramo por hora,mg/h,MILIGRAMO POR HORA
4N,Megabequerel, MBq,MEGABEQUEREL
4O,Microfaradio, ÁF,MICROFARADIO
4P,Newton por metro, N/m,NEWTON POR METRO
4Q,Onza pulgada,oz/in,ONZA PULGADA
4R,Onza pie,ozÀft,ONZA PIE
4T,Picofaradio, pF,PICOFARADIO
4U,Libra por hora,lb/h,LIBRA POR HORA
4W,Tonelada (EUA) por hora,   ton (US) /h,TONELADA (EUA) POR HORA
4X,Kilolitro por hora,kl/h,KILOLITRO POR HORA
56,Sitas,,SITAS
57,Malla,,MALLA
58, kilogramo neto,,KILOGRAMO NETO
59,Parte por millón, ppm,PARTE POR MILLON
5A,Barril por minuto, barrel (US)/min,BARRIL POR MINUTO
5B,Batch,,BATCH
5C,Galón (US) por mil,,GALON (US) POR MIL
5E,Mmscf/day,,MMSCF/DAY
5F,Libra por mil,,LIBRA POR MIL
5G,bomba,,BOMBA
5H,Escenario,,ESCENARIO
5I,Pies cúbicos estándar, Std,PIES CUBICOS ESTANDAR
5J,Caballos de potencia hidráulica,,CABALLOS DE POTENCIA HIDRAULICA
5K,Contar por minuto,,CONTAR POR MINUTO
5P,Nivel sísmico,,NIVEL SISMICO
5Q,Línea sísmica,,LINEA SISMICA
60,Tanto por ciento en peso,,TANTO POR CIENTO EN PESO
61,Parte por mil millones (EUA), ppb,PARTE POR MIL MILLONES (EUA)
74,Milipascal, mPa,MILIPASCAL
77,Mili-pulgada, mil,MILI-PULGADA
80,Libra por pulgada cuadrado absoluta,     lb/in?,LIBRA POR PULGADA CUADRADO ABSOLUTA
81,Henry,  H,HENRY
85,Pie libra-fuerza,     ftÀlbf,PIE LIBRA-FUERZA
87,Libra por pie cúbico,     lb/ft?,LIBRA POR PIE CUBICO
89,Poise,  P,POISE
91,Stokes, St,STOKES
A1,15 ? C calorías,    Cal $ _ $,15 ? C CALORIAS
A10,Amperio por metro cuadrado por joule segundo,A/m2/(J/s),AMPERIO POR METRO CUADRADO POR JOULE SEGUNDO
A11,Ángstrom,,ANGSTROM
A12,Unidad astronómica,ua,UNIDAD ASTRONOMICA
A13,Attojoule,aJ,ATTOJOULE
A14,Barn,b,BARN
A15,Barn por electrovoltio,b/eV,BARN POR ELECTROVOLTIO
A16,Barn por electrovoltio,b/(sr/eV),BARN POR ELECTROVOLTIO
A17,Barn por esteroradian,b/sr,BARN POR ESTERORADIAN
A18,Becquerel por kilogramo,Bq/kg,BECQUEREL POR KILOGRAMO
A19,Becquerel por metro cúbico,Bq/m3,BECQUEREL POR METRO CUBICO
A2,Amperio por centímetro,A/cm,AMPERIO POR CENTIMETRO
A20,Unidad térmica británica (tabla internacional) por segundo pie cuadrado grado rankine.,BtuIT/(s/ft2/°R),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR SEGUNDO PIE CUADRADO GRADO RANKINE.
